,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
180,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,60.0,254.85,0.93,0.0,1.08,158.10000000000002,31.462,0.0
184,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,65.0,254.85,4.15,0.0,2.86,431.28,85.82499999999999,0.0
185,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,75.0,254.85,0.85,0.0,3.01,136.01999999999998,27.067999999999998,0.0
191,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,110.0,254.85,1.06,0.0,2.16,243.32,48.42100000000001,0.0
193,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,120.0,254.85,1.76,0.0,1.1,251.55,50.058,0.0
198,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,135.0,254.85,2.04,0.0,1.93,485.14000000000004,96.54299999999999,0.0
199,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,135.0,254.85,1.06,0.0,0.7,318.43,63.368,0.0
201,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,140.0,254.85,4.09,3.85,1.09,1080.9,215.09899999999996,3.85
203,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,151.0,254.85,2.04,0.0,0.97,256.90000000000003,51.123000000000005,0.0
207,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,19.0,284.09,10.92,16.0,1.19,3619.5899999999997,256.991,16.0
213,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,31.0,284.09,11.7,8.0,1.61,2610.9900000000002,185.38000000000002,8.0
216,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,31.0,284.09,0.78,0.8,2.12,119.52000000000001,8.486,0.8
217,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,37.0,284.09,3.12,0.0,3.4,1007.48,71.531,0.0
218,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,37.0,284.09,2.34,0.0,1.32,341.03000000000003,24.213,0.0
222,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,55.0,284.09,7.8,8.0,2.73,1385.34,98.35900000000001,8.0
225,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,55.0,284.09,10.92,0.0,2.73,2599.8500000000004,184.589,0.0
228,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,73.0,284.09,6.24,0.0,1.09,718.97,51.047,0.0
229,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,100.0,85.0,284.09,3.12,3.2,2.99,565.47,40.148,3.2
232,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,91.0,284.09,12.48,0.0,1.11,3398.1800000000003,241.27099999999996,0.0
235,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,103.0,284.09,11.7,0.0,0.65,3191.7000000000003,226.61100000000002,0.0
236,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,109.0,284.09,3.12,4.8,1.77,1304.85,92.644,4.8
240,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,139.0,284.09,4.68,0.0,0.66,792.02,56.233,0.0
241,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,145.0,284.09,7.8,20.0,1.68,3285.65,233.28099999999998,20.0
246,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,157.0,284.09,4.68,4.0,2.56,1014.0699999999999,71.999,4.0
250,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,175.0,284.09,0.78,0.0,1.29,222.76000000000002,15.815999999999999,0.0
253,1.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,3.0,285.36,2.23,0.0,4.94,484.96,39.282000000000004,0.0
255,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,13.0,285.36,2.13,0.0,0.9,1434.63,116.205,0.0
260,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,18.0,285.36,1.42,0.0,1.25,308.17,24.962,0.0
262,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,18.0,285.36,2.13,0.0,1.82,1041.0,84.321,0.0
264,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,18.0,285.36,10.614753325272067,0.0,0.43,1194.47,96.75200000000001,0.0
