,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
2408,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,80.0,46.0,348.87,7.5,9.48,4.29,577.0600000000001,136.186,9.48
2409,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,46.0,348.87,7.5,15.0,2.81,712.02,168.03699999999998,15.0
2410,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,46.0,348.87,27.0,23.7,4.75,2014.4799999999998,475.41700000000003,23.7
2412,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,50.0,348.87,15.0,15.8,0.38,1035.73,244.43200000000002,15.8
2414,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,50.0,348.87,7.5,7.9,0.66,584.27,137.888,7.9
2419,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,58.0,348.87,2.25,4.74,1.98,170.52,40.243,4.74
2423,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,62.0,348.87,18.75,11.85,1.64,664.93,156.923,11.85
2424,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,62.0,348.87,18.75,22.12,0.33,865.34,204.22000000000003,22.12
2425,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,62.0,348.87,18.75,22.12,1.95,233.6,55.13,22.12
2426,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,62.0,348.87,21.0,22.12,0.15,771.37,182.043,22.12
2428,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,70.0,348.87,15.0,0.0,0.13,75.39,17.791999999999998,0.0
2429,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,70.0,348.87,11.25,0.0,1.06,444.83000000000004,104.97999999999999,0.0
2430,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,70.0,348.87,9.75,0.0,3.56,664.0,156.704,0.0
2435,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,1.0,8.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,74.0,348.87,11.25,11.85,0.71,164.41,38.801,11.85
2437,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,82.0,348.87,17.96,9.88,0.86,743.9900000000001,175.582,9.88
2438,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,82.0,348.87,11.25,11.85,1.17,253.15,59.743,11.85
2440,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,82.0,348.87,7.5,7.9,1.06,186.29,43.964,7.9
2441,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,82.0,348.87,3.75,3.98,0.69,422.29,99.66,3.98
2443,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,82.0,348.87,30.0,23.7,0.23,1491.33,351.954,23.7
