,Region,Zone,District,Enumeration area,Holders ID,Parcel,Field,Field Part,CROP,Owner Type,Extension,Irrigation Used,Seed Type,Any Damage,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,Reason for Not Using Fertilizer,Percent of Field in Use,Area Measure - Day,Area Measure - Month,Local Area Unit,Reason for Not Measuring Area,Production local unit,case$id,Farmers associations,Householde ID,Field Weight,Weight of Non-improved Seed,Local Area Amount,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Square meter,Production Of Condition in Kg
347,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,26.0,1.0,1.0,50.0,20.0,1.010302301058102e+17,23.0,58.0,170.03,8.28,10.0,14396.7,14396.7,14396.7,0.0
348,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,100.0,27.0,1.0,1.0,50.0,20.0,1.010302301058103e+17,23.0,58.0,170.03,8.28,10.0,16328.2,16328.2,16328.2,0.0
351,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,1.0,2.0,1.0,50.0,20.0,1.010302301064104e+17,23.0,64.0,170.03,4.44,2.5,3429.2,3429.2,3429.2,0.0
353,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,3.0,2.0,1.0,50.0,20.0,1.010302301077103e+17,23.0,77.0,170.03,3.8,1.3,2178.9,2178.9,2178.9,0.0
354,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,4.0,2.0,1.0,50.0,20.0,1.010302301077104e+17,23.0,77.0,170.03,10.35,10.0,18112.7,18112.7,18112.7,0.0
356,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,10.0,2.0,1.0,50.0,20.0,1.010302301089105e+17,23.0,89.0,170.03,9.66,10.0,21718.9,21718.9,21718.9,0.0
357,1.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,12.0,2.0,1.0,50.0,20.0,1.0103023010891061e+17,23.0,89.0,170.03,9.66,10.0,18172.0,18172.0,18172.0,0.0
360,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,15.0,2.0,1.0,50.0,20.0,1.010302301095102e+17,23.0,95.0,170.03,10.35,10.0,21236.5,21236.5,21236.5,0.0
361,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,17.0,2.0,1.0,50.0,20.0,1.010302301107104e+17,23.0,107.0,170.03,10.35,10.0,22704.8,22704.8,22704.8,0.0
362,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,17.0,2.0,1.0,50.0,20.0,1.010302301107105e+17,23.0,107.0,170.03,10.35,10.0,20865.8,20865.8,20865.8,0.0
371,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,28.0,2.0,1.0,50.0,20.0,1.010302301137103e+17,23.0,137.0,170.03,12.42,15.0,19174.3,19174.3,19174.3,0.0
